,microbe_0,microbe_1,microbe_2,microbe_3,microbe_4,microbe_5,microbe_6,microbe_7,microbe_8,microbe_9,microbe_10,microbe_11,microbe_12,microbe_13,microbe_14,microbe_15,microbe_16,microbe_17,microbe_18,microbe_19,microbe_20,microbe_21,microbe_22,microbe_23,microbe_24,microbe_25,microbe_26,microbe_27,microbe_28,microbe_29,microbe_30,microbe_31,microbe_32,microbe_33,microbe_34,microbe_35,microbe_36,microbe_37,microbe_38,microbe_39,microbe_40,microbe_41,microbe_42,microbe_43,microbe_44,microbe_45,microbe_46,microbe_47,microbe_48,microbe_49
microbe_22,-0.003475902,-0.19172801,-0.04337395,-0.020635609,0.116348505,-0.021238312,0.0023733461,-0.025592938,-0.024539497,-0.023191046,-0.18317156,-0.020080281,0.01063154,0.033014316,-0.027466632,-0.0087354425,0.039239246,0.0077053905,-0.033890218,-0.02171207,0.044966683,-0.0070691695,-1.0255204,-0.015048121,0.005721845,-0.019791767,0.042487446,-0.0009356432,0.08696996,-0.020359328,-0.015647251,-0.015865387,-0.039571892,0.010036922,-0.015485447,-0.028228482,0.0016042956,-0.0126569355,0.032867793,-0.015558486,-0.018294316,-0.038624827,0.004760254,-0.030679483,0.080718726,0.022222549,0.126643,0.09036317,0.045869276,-0.030990325
microbe_23,0.110264726,0.0030344124,-0.029105892,-0.009542625,0.16958429,-0.009460948,0.03459985,-0.01697548,-0.0069450005,-0.028261062,0.024596421,-0.057211537,-0.053305928,0.052394204,-0.07563296,0.035588354,0.015213875,0.021979319,-0.018557534,-0.065703675,-0.051733218,-0.035827924,0.0035579165,-1.007161,0.02565083,-0.059553415,0.09293121,-0.040220298,0.13372098,0.008970266,-0.00093020714,0.009973427,-0.012096308,0.05402042,0.0024235533,-0.0034160772,0.018527048,-0.04611504,-0.012017704,0.0070813578,-0.0048918813,0.012662507,0.026035696,-0.0017856905,0.11009638,-0.017501684,0.17249145,-0.0057004495,0.15128258,-0.068029925
microbe_24,0.0019465209,-0.008997377,0.28739524,-0.011753568,0.08544065,-0.06605275,0.006251675,0.015320802,-0.068926014,-0.013471977,0.013050533,-0.009109078,-0.006845019,0.040017396,-0.019388093,-0.05248913,-0.0031459806,0.00516992,-0.009182175,-0.016662108,0.02976734,-0.061926275,-0.006868765,-0.043271393,-0.95321065,-0.009132275,0.040421147,-0.0011023526,0.13340296,-0.062003322,-0.18504016,-0.0011743117,-0.012511838,0.018998947,-0.007935728,-0.006185501,-0.052643675,-0.011536565,-0.03471209,-0.009367404,-0.012450779,0.004308434,0.005965294,-0.01091028,0.06025941,0.01905993,0.07264554,-0.010408218,-0.025853032,-0.013564546
microbe_25,0.013955231,-0.003475662,-0.04849217,-0.014601773,0.27422965,-0.019313091,0.05151707,-0.032078944,-0.012122843,-0.021354446,0.039759573,-0.14463016,-0.04604415,0.08116565,-0.073119305,0.011857911,-0.0045646317,0.04619871,-0.009189238,-0.024470374,0.09504241,0.027120883,0.001461333,0.09883717,0.043499492,-0.9859703,0.11889979,-0.010358234,0.18725051,0.0077840365,-0.0018679427,0.14000629,-0.0150425825,0.07028563,0.0046064733,-0.01267789,0.030419024,0.015889926,0.10062752,0.009608059,-0.014230473,0.028536834,-0.0037222172,0.0016947578,0.20955849,0.15524654,0.19238135,-0.0041819587,0.13125542,-0.020888695
microbe_26,-0.05329605,0.0009711165,-0.027268874,-0.0009604731,0.02360478,-0.024122424,-0.031459596,-0.0011450762,0.025869353,-0.05783824,0.0048006056,-0.04140561,-0.01342431,0.022249965,-0.0060383608,-0.057680145,-0.055558234,0.008919876,0.06741446,0.0106408745,0.05029345,0.011674413,0.02503134,-0.04401692,-0.014215741,-0.0550891,-1.0518545,0.011685355,0.10012923,0.0124915205,-0.052892767,0.041671492,-0.052885767,-0.07758722,-0.0024102002,-0.057442043,-0.05777345,-0.036650624,0.024077196,0.002651251,0.023501977,-0.049859617,0.02128767,-0.04541514,0.077372685,-0.03135286,0.057614435,-0.003765257,-0.04563232,-0.053359102
microbe_27,-0.013911893,-0.015519017,-0.0460039,-0.017911935,0.039318863,-0.02012348,-0.020171173,-0.017685076,-0.022047648,-0.035072345,-0.006771105,-0.030679842,0.050842516,0.020400418,-0.03498571,-0.015912171,-0.04916485,-0.0033298302,-0.016519696,-0.015655186,0.002324411,-0.010272566,-0.011523518,0.006483035,-0.0068402593,0.1605302,0.011996449,-1.0038872,0.022606127,-0.017887255,-0.021570936,-0.01513362,-0.033460226,-0.06088446,-0.018302087,-0.026585735,0.0015013012,-0.023795584,-0.00071702566,-0.015273197,-0.021598907,-0.063025996,-0.00059136323,-0.013714052,-0.025828362,-0.04514833,-0.06807089,-0.016680276,0.013092568,-0.027957017
microbe_28,0.03470331,-0.006951455,0.056159012,-0.045573957,-0.028812109,-0.03955709,-0.042570032,-0.071523145,-0.049834702,-0.05007773,0.007627448,-0.051317457,-0.045147464,0.014766967,0.068671465,-0.044643458,-0.04142658,0.023633083,0.010646795,-0.018951096,0.022221921,-0.0001263963,0.2944497,-0.0032790045,-0.26727182,-0.04401368,-0.03662707,0.011999911,-1.0075166,0.0317846,-0.022638164,-0.034727514,-0.05610077,-0.04201559,-0.046037443,-0.06082173,-0.031982005,-0.050907094,0.009273282,-0.022249343,-0.053197004,0.018386135,0.15617947,-0.04912148,-0.025309814,0.021590818,0.022453407,-0.04684213,0.008703567,-0.055309806
microbe_29,0.053810813,-0.0053528277,-0.036116183,-0.0051439526,0.21065068,-0.028997358,0.03431544,0.009362509,-0.066867,-0.012300477,0.023028398,0.001623574,-0.00018233745,0.01277338,-0.018606212,-0.047692593,0.0075738123,0.027000545,0.0026576726,-0.018838434,0.06770618,-0.05580334,0.010412098,-0.057633568,0.17848541,-0.006473422,0.0664656,-0.041454785,0.064586975,-0.9996135,-0.044508863,0.021193635,-0.011252223,0.049380682,0.0022255445,-0.010105975,-0.038743846,0.0091474885,0.0139487535,0.0019124051,-0.0075803967,0.019230364,0.034615535,-0.0050806967,0.13261639,0.067052215,0.17560923,-0.006215079,0.029670881,-0.01751423
microbe_30,0.019042777,9.349266e-05,0.054141186,-0.010706627,0.31206167,-0.06610047,0.02364562,-0.12321277,-0.0025064962,-0.012893415,0.024816586,0.0038122586,0.0033141563,0.14019777,-0.013983217,0.017348694,0.013686216,0.050918054,-0.0014716876,-0.020761741,0.043827407,0.019751748,0.0036060645,0.009443378,0.29707506,-0.0045261635,0.15919608,0.028358165,0.121082604,0.013205467,-0.98419946,0.02801841,-0.010100393,0.014478847,0.006254673,0.0024220056,0.039852776,0.026354885,0.12921777,0.0066880253,-0.009681247,0.03236209,0.056782294,-0.0032436964,0.21823642,0.08643491,0.26201144,-0.0035142826,0.13813883,-0.013838742
microbe_31,0.023192087,0.0015395505,-0.041019116,-0.009020364,0.24887286,-0.01609198,0.033776205,-0.021314561,-0.0039514014,-0.008739204,-0.03338057,-0.199188,0.007688329,0.10111644,-0.011706201,-0.02419969,0.0035704325,0.037088595,-0.0008008042,-0.011083697,0.07565309,0.0029391183,0.011852145,-0.202802,0.029637424,-0.056261238,0.079832524,0.03249359,0.1388929,-0.032143977,-0.017523466,-0.94039214,-0.04356716,0.029721819,0.0064728367,-0.02307146,0.006428664,-0.019944804,0.068863854,-0.044667292,-0.032694228,-0.047464605,0.04152049,-0.012139212,0.17300405,-0.18192376,0.16675274,0.0010821465,0.09861675,0.25061342
